product_name,review_count,avg_rating,avg_sentiment,positive_ratio,negative_ratio,avg_review_length,weighted_rating,csi,segment
Plastik zipper untuk kemasan oleh oleh tulisan Gandangbatu Coffee,27,5.0,0.8969766248914378,0.9629629629629629,0.0,1.6666666666666667,4.9661404685898365,97.93953249782875,steady
Kopi Arabika Toraja Benteng Kado Phiter Tulak 200 gram Kopi Terbaik Indonesia 2016 versi AEKI,39,4.9743589743589745,0.8831346031317177,0.9743589743589743,0.02564102564102564,1.2307692307692308,4.958030009258168,97.27807667801896,overrated
Kopi Toraja Blend Arabika Robusta Gandangbatu Taracasta kemasan 500 gram,105,4.961904761904762,0.901006731268717,0.9714285714285714,0.009523809523809525,0.7333333333333333,4.956377849696107,97.44870605394578,steady
Kopi Toraja Blend Arabika Robusta 1kg Gandangbatu Taracasta Biji Sangrai atau Kopi Bubuk,36,4.972222222222222,0.8759508691760453,0.9722222222222222,0.027777777777777776,0.9444444444444444,4.956236419910227,97.10235071685425,overrated
Kopi Toraja Arabika Peaberry Perindingan proses Full Wash 200 gram Bubuk atau Biji Kemasan oleh oleh kopi toraja,13,5.0,0.9338555370967907,1.0,0.0,1.2307692307692308,4.956097387239364,98.67711074193582,high_potential
Kopi Arabika Toraja Benteng Kado Phiter Tulak 1kg,11,5.0,0.7538876982659779,0.9090909090909091,0.09090909090909091,0.5454545454545454,4.95415479375438,95.07775396531956,overrated
Kopi Toraja Arabika Gandangbatu Espresso Based 1kg,10,5.0,0.9272623565047979,1.0,0.0,0.0,4.953117571893619,98.54524713009596,steady
Kopi Toraja Natural Presso Full Arabika 100% kemasan baru 200 gram,9,5.0,0.938210399226389,1.0,0.0,2.5555555555555554,4.952032330502267,98.76420798452779,high_potential
Kopi Arabika Toraja Peaberry kemasan 200 gram,9,5.0,0.9272623556769557,1.0,0.0,0.0,4.952032330502267,98.54524711353912,steady
Kertas Saring Kopi Drip Bag Coffee solusi kopi tanpa ampas,8,5.0,0.9344935339759104,1.0,0.0,3.0,4.95089565586962,98.68987067951821,high_potential
Kopi Toraja Arabika Natural Carbonic Maceration 200 gram kopi arabika premium specialty,24,4.958333333333333,0.9303534689776521,1.0,0.0,1.75,4.947213001335016,97.98206937955302,high_potential
Kopi Toraja Tanpa Ampas Gandanbatu Arabusta Blend Arabika Robusta dengan Filter Dripbag isi 4 pcs,5,5.0,0.9272623565047979,1.0,0.0,0.0,4.947137670349438,98.54524713009596,steady
Kopi Arabika Toraja Perindingan 1kg Bubuk atau Biji Specialty Coffee,21,4.9523809523809526,0.8435510708562409,0.9523809523809523,0.047619047619047616,1.9523809523809523,4.94434414271192,96.15673570283911,overrated
Timbangan Kopi dengan Timer,3,5.0,0.9441849109716713,1.0,0.0,2.6666666666666665,4.944295609615536,98.88369821943343,high_potential
Gilingan Kopi Manual Grinder Coffee,3,5.0,0.9272623565047979,1.0,0.0,0.0,4.944295609615536,98.54524713009596,steady
Kopi Toraja Arabika Perindingan kemasan 200 gram Bubuk atau Biji Specialty Coffee,125,4.944,0.8866592023377307,0.968,0.016,0.992,4.943013798226747,96.89318404675463,overrated
Kemasan Ecopack Litho Brown Kopi Standing Pouch zipper ziplock dengan valve,1,5.0,0.9272623565047979,1.0,0.0,0.0,4.941130587434601,98.54524713009596,steady
Kemasan Premium Kopi Flat Bottom Pouch zipper ziplock valve,1,5.0,0.9272623565047979,1.0,0.0,0.0,4.941130587434601,98.54524713009596,steady
Kopi Toraja Robusta 1kg Biji Sangrai atau Kopi Bubuk,51,4.9411764705882355,0.8056712004563807,0.9215686274509803,0.058823529411764705,1.803921568627451,4.94046709715608,95.23107106795115,overrated
Kopi Toraja Robusta kemasan 500 gram oleh oleh khas Toraja,66,4.924242424242424,0.9297288435327848,1.0,0.0,0.7424242424242424,4.92941912851994,97.45821323429205,undervalued
Kopi Toraja Blend Arabika Robusta Taracasta kemasan baru 200 gram,258,4.926356589147287,0.9021645602756613,0.9806201550387597,0.011627906976744186,1.1317829457364341,4.9278843144342845,96.93864004272253,undervalued
Kopi Arabika Toraja Gandangbatu Arabika Espresso Based kemasan baru 200 gram,244,4.926229508196721,0.9164579802870962,0.9836065573770492,0.004098360655737705,1.2336065573770492,4.927849736440324,97.22260222869275,undervalued
Kopi Toraja Arabika Natural Benteng Ambeso 200gram Bubuk atau Biji Specialty Coffee,36,4.916666666666667,0.9325000913975399,1.0,0.0,0.3611111111111111,4.927746391420198,97.4000018279508,undervalued
Kopi Toraja Arabika Specialty Premium origin Gandangbatu 200 gram proses Semi Wash,15,4.866666666666666,0.9315539785854828,1.0,0.0,0.4666666666666667,4.917231639790609,96.63107957170965,high_potential
Kopi Toraja Arabika Espresso Based kemasan 500 gram,68,4.897058823529412,0.9311968163237907,1.0,0.0,0.3088235294117647,4.911230887257319,97.079818679417,undervalued
Kopi Toraja Robusta biji sangrai atau kopi bubuk kemasan baru 200 gram,346,4.890173410404624,0.8945909763443771,0.9710982658959537,0.011560693641618497,1.3988439306358382,4.8946023058329775,96.24442068295691,undervalued
KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,332,4.885542168674699,0.9087429203120052,0.9789156626506024,0.0030120481927710845,1.1746987951807228,4.890572901905238,96.45799093636059,undervalued
Vanilla beans planifolia super gourmet A 10 gram (2-4 batang),24,4.75,0.7703260147051575,0.9166666666666666,0.08333333333333333,3.0416666666666665,4.861302348414054,91.65652029410315,steady
V60 Coffee Paper Filter kertas filter 100 lembar,9,4.555555555555555,0.7096708825427211,0.8888888888888888,0.1111111111111111,2.0,4.859439737909675,87.52675098418776,steady
